name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
雅加达,印度尼西亚,B,keep,1076,784,37.2,301,392,-23.2,v4:US3200×geomean(wbPLI=0.30;digPLI=0.31)×prem1.1×none1.00,cost×rentShare(0.28),,57,,
马尼拉,菲律宾,B,keep,1195,1010,18.3,335,520,-35.6,v4:US3200×geomean(wbPLI=0.34;digPLI=0.34)×prem1.1×none1.00,cost×rentShare(0.28),,58,,
首尔,韩国,B,keep,2341,2023,15.7,890,1128,-21.1,v4:US3200×geomean(wbPLI=0.59;digPLI=0.63)×prem1.2×none1.00,cost×rentShare(0.38),,83,,78
釜山,韩国,B,keep,1951,1656,17.8,741,903,-17.9,v4:US3200×geomean(wbPLI=0.59;digPLI=0.63)×prem1×none1.00,cost×rentShare(0.38),,83,,
台北,台湾,B,keep,1790,1653,8.3,1053,683,54.2,v4:US3200×geomean(wbPLI=0.66;digPLI=0.47)×prem1×none1.00,InsideAirbnb×13.6,,94,,
布宜诺斯艾利斯,阿根廷,B,keep,1560,1766,-11.7,499,690,-27.7,v4:US3200×geomean(wbPLI=0.46;digPLI=0.43)×prem1.1×none1.00,cost×rentShare(0.32),,85,,
圣地亚哥,智利,C,warn,1819,4205,-56.7,582,2709,-78.5,v4:US3200×geomean(wbPLI=0.46;digPLI=0.58)×prem1.1×none1.00,cost×rentShare(0.32),,94,,
波哥大,哥伦比亚,B,keep,1361,1625,-16.2,436,629,-30.7,v4:US3200×geomean(wbPLI=0.35;digPLI=0.42)×prem1.1×none1.00,cost×rentShare(0.32),,70,,
利马,秘鲁,B,keep,1807,1470,22.9,506,563,-10.1,v4:US3200×geomean(wbPLI=0.47;digPLI=0.56)×prem1.1×none1.00,cost×rentShare(0.28),,66,,
约翰内斯堡,南非,B,keep,1302,2042,-36.2,365,593,-38.4,v4:US3200×geomean(wbPLI=0.41;digPLI=0.41)×prem1×none1.00,cost×rentShare(0.28),,79,,
开普敦,南非,B,keep,1302,1988,-34.5,1382,575,140.3,v4:US3200×geomean(wbPLI=0.41;digPLI=0.41)×prem1×none1.00,InsideAirbnb×13.6,,79,,9
瓜达拉哈拉,墨西哥,C,warn,1764,816,116.2,564,464,21.6,v4:US3200×geomean(wbPLI=0.54;digPLI=0.56)×prem1×none1.00,cost×rentShare(0.32),,60,,
圣何塞(哥斯达黎加),哥斯达黎加,C,warn,2103,1368,53.7,673,825,-18.4,v4:US3200×geomean(wbPLI=0.60;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.32),,,,
巴拿马城,巴拿马,B,keep,1630,1321,23.4,619,793,-21.9,v4:US3200×geomean(wbPLI=0.46;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.38),,,,
圣胡安,波多黎各,D,drop,,2192,,,1395,,null,null,,,,
阿布扎比,阿联酋,B,keep,1953,2130,-8.3,742,1195,-37.9,v4:US3200×geomean(wbPLI=0.63;digPLI=0.48)×prem1.1×none1.00,cost×rentShare(0.38),,18,,
多哈,卡塔尔,C,warn,2142,2545,-15.8,814,1458,-44.2,v4:US3200×geomean(wbPLI=0.61;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.38),,25,,
麦纳麦,巴林,B,keep,1559,1502,3.8,592,810,-26.9,v4:US3200×geomean(wbPLI=0.44;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.38),,12,,
利雅得,沙特阿拉伯,C,warn,1632,2318,-29.6,620,1313,-52.8,v4:US3200×geomean(wbPLI=0.49;digPLI=0.44)×prem1.1×none1.00,cost×rentShare(0.38),,8,,
马斯喀特,阿曼,B,keep,1711,1272,34.5,650,673,-3.4,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.38),,24,,
贝鲁特,黎巴嫩,D,drop,,1392,,,744,,null,null,,42,,
